env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time
1000,1,9.4,0.7999999999999999,25.2,41,0.24638128280639648
2000,1001,9.4,1.019803902718557,24.7,88,45.68081998825073
3000,2001,168.6,46.24110725317897,34.9,122,73.49527549743652
4000,3001,179.6,61.379475396910976,45.0,145,106.11030197143555
5000,4001,108.2,3.6551333764994136,47.5,165,139.34769821166992
6000,5001,99.8,2.9257477676655586,54.2,182,175.37990069389343
7000,6001,103.8,5.979966555090421,54.1,208,204.692645072937
8000,7001,105.8,8.207313811473275,95.0,218,234.53526878356934
9000,8001,90.8,3.1240998703626617,64.5,232,265.44325256347656
10000,9001,107.4,6.8,103.3,242,307.93059730529785
11000,10001,111.2,7.35934779718964,81.9,253,348.69365096092224
12000,11001,90.4,4.454211490264017,104.0,263,396.3461513519287
13000,12001,109.8,3.4292856398964493,113.4,272,481.66083002090454
14000,13001,102.4,2.6532998322843198,89.7,284,529.0731303691864
15000,14001,46.4,4.029888335921977,84.1,295,658.7502174377441
16000,15001,68.6,4.363484845854286,103.8,304,863.4631507396698
17000,16001,88.6,2.33238075793812,104.7,313,1035.9748840332031
18000,17001,116.4,8.73155198117723,112.1,322,1194.2231268882751
19000,18001,151.0,15.427248620541512,118.5,330,1343.9331784248352
20000,19001,99.0,3.03315017762062,120.9,338,1422.1707563400269
