env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time,wm_loss,recon,rew_loss,cont_loss,kl,wm_gradnorm,actor_loss,critic_loss,imag_return,imag_reward,imag_value,entropy,actor_gradnorm,critic_gradnorm
1000,1,22.6,13.705473359209451,19.7,45,1.7960894107818604,8.722132682800293,4.7416839599609375,1.7251087427139282,0.7104188799858093,1.8853199481964111,14.308849334716797,-0.23535272479057312,0.31666916608810425,1.199168086051941,0.4803612232208252,0.10222913324832916,0.6773291826248169,0.014279242604970932,2.0461130142211914
2000,201,87.0,22.47665455533808,52.1,95,53.514323472976685,5.837768635749817,3.8611257696151733,0.9260678267478943,0.7089074945449829,0.8075233851373196,1.9216223265230656,-5.689078896641731,5.834098995923996,7.568743615150452,1.0035208341479303,2.677996039122809,0.2443631199374795,1.3220985507324803,20.708583348095416
3000,401,171.8,13.257450735341239,132.0,101,94.53556418418884,5.719147460460663,3.789997922182083,0.9193575537204742,0.1483096730709076,0.8083423128724099,1.5701320353150368,-9.649232048988342,9.465918526649475,11.713511028289794,0.9978892919421196,8.652218248844147,0.11916869811713696,0.34456016060896216,35.688368234634396
4000,601,141.2,16.92808317559906,188.9,106,148.37341809272766,5.664263756275177,3.762806016206741,0.9192631059885025,0.05566726061049849,0.8389792343974114,1.2155976296961308,-13.648129887580872,10.034503071308135,15.436457624435425,0.9977800425887108,11.945857810974122,0.15958767659962178,0.10285900965332985,40.28479001998901
5000,801,177.8,8.704022058795578,195.1,111,202.80925512313843,5.63942574262619,3.733759697675705,0.9192045399546623,0.03601426319917664,0.8427710384130478,0.9634141295403242,-17.82386799812317,9.711597926616669,19.64591724395752,0.9976196321845054,15.844006605148316,0.20255084317177535,0.13717177510261536,42.46287784576416
6000,1001,121.2,3.059411708155671,153.8,118,255.74844574928284,5.631043887138366,3.722971957921982,0.9191887494921684,0.04330927441711538,0.8568592864274979,0.8783928693830967,-21.685028562545778,8.488697834014893,23.662385063171385,0.9974566242098808,19.845873308181762,0.22458852037787438,0.16634751971811057,42.96963771820069
7000,1201,109.8,3.7629775444453557,135.1,125,308.1311559677124,5.632079241275787,3.716658809185028,0.9191005235910416,0.0328574666356144,0.8519602757692337,0.9026242541521787,-25.778895864486696,7.486186721324921,28.296525917053224,0.9988512268662453,24.193463802337646,0.21220261104404925,0.10027026039548219,42.40483043670654
8000,1401,220.6,15.396103403134184,148.2,131,363.38261914253235,5.618976736068726,3.707067312002182,0.9191048941016198,0.01956102940108394,0.8431372609734535,0.6687497948110104,-29.67614394187927,6.561485413312912,32.314505395889285,0.9985971283912659,28.544274816513063,0.2310454884171486,0.2124274927377701,40.63970261573792
9000,1601,178.8,15.663971399361019,182.8,136,416.81263065338135,5.6193645429611205,3.706267549991608,0.9191054904460907,0.0161786362625935,0.8293093326687813,0.7026850429922342,-33.6451830291748,5.900673944950103,36.555334177017215,0.9984795346856117,33.06138810157776,0.2782056788355112,0.3185586857795715,38.286026049852374
10000,1801,173.0,19.21457779916072,203.4,139,471.2678279876709,5.613376898765564,3.700349168777466,0.9190863656997681,0.012516918747278396,0.8094158753752708,0.559615817964077,-37.650743293762204,5.070845913887024,40.79485061645508,0.9989404499530792,37.488893356323246,0.3513993528485298,0.29176572008058427,36.03005831718445
