env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time,wm_loss,recon,rew_loss,cont_loss,kl,wm_gradnorm,actor_loss,critic_loss,imag_return,imag_reward,imag_value,entropy,actor_gradnorm,critic_gradnorm
1000,1,9.2,0.7483314773547882,20.3,47,1.386796474456787,8.403604507446289,4.900848865509033,1.3588447570800781,0.6842585802078247,1.7887346744537354,13.838793754577637,-0.5592135190963745,0.9699643850326538,2.2949414253234863,0.8595867156982422,-0.03062494285404682,0.6577755212783813,0.07892588526010513,5.423741817474365
2000,201,84.8,19.093454375780198,51.0,93,65.62991237640381,5.842186529636383,3.8816903018951416,0.9247374469041825,0.67627685315907,0.7980390587449073,1.9043670864403248,-6.095660319924354,6.497436881065369,7.899182808399201,1.0011488404870033,2.796978293772554,0.278999884352088,0.9261767435260118,22.942668316364287
3000,401,500.0,0.0,114.1,99,142.7733781337738,5.692573368549347,3.7613589823246003,0.9192881792783737,0.14760694172233343,0.8180454543232918,1.3123563677072525,-10.203538331985474,10.121935703754424,12.575174198150634,0.9970355251431465,8.852796926498414,0.1537689956277609,0.3017161562666297,37.84861950874328
4000,601,422.8,43.050667822926975,200.5,101,216.21187257766724,5.655853412151337,3.744688254594803,0.9191642549633979,0.05497118638362736,0.8401077854633331,1.1072489631921052,-13.622991757392883,9.918946685791015,15.470765495300293,0.9990982961654663,11.89096977710724,0.22769112795591354,0.07372613970190287,40.649534482955936
5000,801,500.0,0.0,286.2,104,292.17136216163635,5.645792706012726,3.7311371636390684,0.9191814196109772,0.06673824890458491,0.8314539703726769,1.031763141900301,-17.707911610603333,9.256520326137542,19.618881359100342,0.9989186972379684,15.239282059669495,0.32911025896668433,0.07034172495827079,42.795013370513914
6000,1001,500.0,0.0,373.0,106,370.61580514907837,5.628838648796082,3.7237774288654326,0.9192316198348999,0.03636918037533178,0.8581018725037575,0.8196936819702387,-21.78610649585724,8.470683815479278,23.942024364471436,0.9986850681900978,19.792669892311096,0.41200852155685425,0.04457601840607822,43.25274761199951
7000,1201,316.8,17.993332098307974,444.0,108,462.3805904388428,5.623670206069947,3.7138072526454926,0.9192839193344117,0.02783007363032084,0.8334168303012848,0.7540082038193942,-25.75517622947693,7.561608865261078,28.113337478637696,0.9983900693058968,24.02054295539856,0.43102994695305824,0.05309468051884323,42.61657370567322
8000,1401,500.0,0.0,425.6,110,532.1337850093842,5.617368204593658,3.7070198535919188,0.9192669093608856,0.020902739176453907,0.8283576172590256,0.5866907343640924,-29.91723892211914,6.67281433224678,32.77064063072205,0.9984711825847625,28.95417797088623,0.44119266092777254,0.043776220725849274,41.517614412307736
9000,1601,329.0,11.541230437002806,441.9,113,614.6413118839264,5.620005705356598,3.7078536069393158,0.9191560369729995,0.021175408723975123,0.8351792335510254,0.6746021212637424,-34.065365629196165,5.865679796934128,37.06319816589355,0.9990240320563316,33.42279202461243,0.4117282864451408,0.08231127483770251,39.71042730331421
10000,1801,290.2,21.32979137263185,407.0,116,742.7704882621765,5.617533288002014,3.704460415840149,0.919199059009552,0.022514683695299027,0.8263359275460244,0.6782193265855312,-37.854728298187254,5.074303975105286,41.17097673416138,0.998985941708088,37.75910228729248,0.42297297462821004,0.04847806310979649,37.217034873962405
11000,2001,500.0,0.0,407.0,118,906.534520149231,5.614769363403321,3.703704261779785,0.9191465657949448,0.014530391541738937,0.805855686366558,0.5145336562767625,-42.00849254608154,4.41576945066452,45.36989957809448,0.9989390259981156,42.22578918457031,0.4815917271375656,0.040150405562017114,34.843004369735716
12000,2201,500.0,0.0,421.5,120,1063.2371320724487,5.626961786746978,3.7055233788490294,0.9190777972340584,0.0234979261881017,0.7956958876550198,0.8573485352844,-45.8568353843689,3.8950886738300325,49.6249757194519,0.9991964891552925,46.71290660858154,0.45209040768444536,0.12004449545638636,31.804127397537233
13000,2401,500.0,0.0,421.5,122,1235.5269405841827,5.611834945678711,3.695265072584152,0.918970862030983,0.01735344390008322,0.8065673938393593,0.47743236511945725,-49.8323724937439,3.290478454232216,53.927533893585206,0.9996875083446503,51.21316934585571,0.3427900436520577,0.05076391816139221,29.05945489406586
14000,2601,334.0,29.59053902854762,451.2,125,1374.8119089603424,5.609983150959015,3.69492981672287,0.9189683896303177,0.010776354049739893,0.8103195297718048,0.4396442374959588,-53.14138439178467,2.92584035217762,57.38302440643311,0.9996264037489891,54.91134260177612,0.5049320669472217,0.02008437359589152,26.085443954467774
15000,2801,265.6,11.516944039110374,404.4,128,1519.0777697563171,5.609983513355255,3.697061972618103,0.9189648017287254,0.008998573971421137,0.7929294934868812,0.5712153151631355,-56.7708614730835,2.51449706196785,61.16084655761719,0.9995689556002617,58.934845485687255,0.5235461726784706,0.03432126081432216,23.23505139827728
16000,3001,208.6,24.5161171477051,350.8,131,1628.366534948349,5.609173574447632,3.694488149881363,0.9189698976278305,0.008004831679863855,0.8030698692798615,0.4439328315481543,-59.928329658508304,2.214432921409607,64.52726152420044,0.9995043912529945,62.47830684661865,0.5410298749804496,0.027334618642926217,20.481102952957155
17000,3201,244.8,37.78571158520109,314.2,134,1726.6845593452454,5.60849368095398,3.6943838989734648,0.9189711830019951,0.007609969884942985,0.8199947583675384,0.459361528865993,-63.05404228210449,1.9604518324136735,67.88313512802124,0.9995392498373985,66.1288847541809,0.5250843676924706,0.031656776746967805,17.82005086660385
18000,3401,342.4,84.8141497628786,249.5,139,1822.2808260917664,5.611045644283295,3.693368536233902,0.9189969271421432,0.008721940897248714,0.7982110238075256,0.5109937070682645,-66.32415664672851,1.7645270532369615,71.36312311172486,0.9995380058884621,69.70399118423462,0.5047259016335011,0.055133409635163846,15.260128161907197
19000,3601,366.4,85.56775093456646,235.4,143,1921.176652431488,5.609599332809449,3.6913962030410765,0.919031617641449,0.008686606054725416,0.8274476477503776,0.5196712566539645,-68.81900234222412,1.6265591436624527,74.20406852722168,0.9995707347989082,72.79784156799316,0.48538572520017625,0.07948812575545162,12.752756069004535
20000,3801,301.4,42.98650951170611,237.6,147,1985.9248111248016,5.610342032909394,3.693581246137619,0.919042883515358,0.007389251188315029,0.7982452154159546,0.4836434543132782,-70.86647033691406,1.6141668510437013,76.46681831359864,0.9994190829992294,75.28634162902831,0.4506788982450962,0.17455440503079445,11.197536090612411
