checkpoint,experiment,anti_collapse,history_size,sigreg_weight,seed,train_steps,pred_loss,emb_mean_std,scale_sq,norm_pred_loss,dead_dims,cem_success_pct
lewm_hist1,exp1_horizon,SIGReg,1,0.09,unseeded,900,0.3454,0.3472,0.12055,2.865,0,54.0
lewm_hist3,exp1_horizon,SIGReg,3,0.09,unseeded,900,0.2656,0.3251,0.10569,2.513,0,52.0
lewm_hist5,exp1_horizon,SIGReg,5,0.09,unseeded,900,0.2541,0.3893,0.15155,1.677,0,64.0
lewm_sigreg_low,exp3_sigreg,SIGReg,3,0.001,unseeded,900,0.0040,0.0012,0.0000014,2857.0,69,34.0
lewm_sigreg_high,exp3_sigreg,SIGReg,3,1.0,unseeded,900,1.0738,0.1145,0.01311,81.91,0,38.0
exp2_lewm_s0,exp2_v2,SIGReg,3,0.09,0,900,0.2509,0.2595,0.06732,3.727,0,36.0
exp2_lewm_s1,exp2_v2,SIGReg,3,0.09,1,900,0.3447,0.3289,0.10820,3.186,0,60.0
exp2_lewm_s2,exp2_v2,SIGReg,3,0.09,2,900,0.2691,0.4106,0.16858,1.596,0,70.0
exp2_pldm_s0,exp2_v2,VCReg+align+IDM,3,,0,900,0.0198,0.0715,0.00511,3.871,0,32.0
exp2_pldm_s1,exp2_v2,VCReg+align+IDM,3,,1,900,0.0212,0.0735,0.00540,3.926,0,36.0
exp2_pldm_s2,exp2_v2,VCReg+align+IDM,3,,2,900,0.0164,0.3064,0.09386,0.175,0,62.0
released_tworoom,02_reproduction,SIGReg,3,0.09,,full,,,,,,86.0
